post_id,permalink,post_message,type,date_posted,lifetime_unique_video_views,lifetime_unique_30s_views,lifetime_unique_watches_at_95p,lifetime_unique_60s_video_views
102088165248724_116453027145571,https://www.facebook.com/sugboanongsimbahan/posts/116453027145571,The Roman Catholic Archdiocese of Cebu,SharedVideo,3/27/21 2:42 AM,366,0,0,48
102088165248724_116569477133926,https://www.facebook.com/sugboanongsimbahan/posts/116569477133926,,SharedVideo,3/27/21 5:37 PM,62,0,0,5
102088165248724_116560197134854,https://www.facebook.com/sugboanongsimbahan/posts/116560197134854,,SharedVideo,3/27/21 4:15 PM,180,0,0,10
102088165248724_116569313800609,https://www.facebook.com/sugboanongsimbahan/posts/116569313800609,,SharedVideo,3/27/21 5:35 PM,47,0,0,3
102088165248724_121603466630527,https://www.facebook.com/sugboanongsimbahan/posts/121603466630527,The Roman Catholic Archdiocese of Cebu,SharedVideo,4/15/21 3:00 AM,783,0,0,167
102088165248724_142160704574803,https://www.facebook.com/sugboanongsimbahan/posts/142160704574803,The Roman Catholic Archdiocese of Cebu,SharedVideo,5/21/21 5:32 PM,361,0,0,44
102088165248724_119414920182715,https://www.facebook.com/sugboanongsimbahan/posts/119414920182715,The Roman Catholic Archdiocese of Cebu,SharedVideo,4/11/21 1:36 AM,353,0,0,41
102088165248724_112363654221175,https://www.facebook.com/sugboanongsimbahan/posts/112363654221175,The Roman Catholic Archdiocese of Cebu,SharedVideo,3/6/21 9:34 PM,288,0,0,37
102088165248724_117309077059966,https://www.facebook.com/sugboanongsimbahan/posts/117309077059966,The Roman Catholic Archdiocese of Cebu,SharedVideo,3/30/21 6:08 PM,595,0,0,58
102088165248724_143150144475859,https://www.facebook.com/sugboanongsimbahan/posts/143150144475859,"PALANDONG | The Daily Gospel Reflection   Makapili ba ka sa gipapili sa Ginoo? Gospel from John 19:25-34 Memorial of Mary, Mother of the Church Monday, 8th Week of the Ordinary Time May 24, 2021  By Rev. Fr. Loreto Jumao-as  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/23/21 3:00 PM,267,74,24,52
102088165248724_144123567711850,https://www.facebook.com/sugboanongsimbahan/posts/144123567711850,"PALANDONG | The Daily Gospel Reflection   Paghalad Ug Paghatag Sa Kinabuhi Gospel from Mark 10:32-45 Memorial of Saint Philip Neri, Priest Wednesday, 8th Week of the Ordinary Time May 26, 2021  By Rev. Fr. Loreto Jumao-as  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/25/21 3:00 PM,78,22,4,16
102088165248724_144386261018914,https://www.facebook.com/sugboanongsimbahan/posts/144386261018914,"An Invitation for us to join virtually @ 12NN today @ the Cebu Metropolitan Cathedral with the ARCHDIOCESE OF CEBU as the Host and with Archbishop Jose S. Palma as the main presider and homilist.  SIMBAYANAN: MISA NANG SAMBAYANANG PILIPINO SA IKA-500 NA TAONG KRISTIANISMO SA PILIPINAS. An Initiative of the CBCP Episcopal Commission on Social Communications, Catholic Media Network and Veritas 846.  #SugboanongSimbahan #500YoCCebu #RCACNowOnline #GiftedToGiveCebu",Video,5/25/21 6:37 PM,167,48,24,24
102088165248724_117309697059904,https://www.facebook.com/sugboanongsimbahan/posts/117309697059904,The Roman Catholic Archdiocese of Cebu,SharedVideo,3/30/21 6:16 PM,749,0,0,126
102088165248724_138303564960517,https://www.facebook.com/sugboanongsimbahan/posts/138303564960517,The Roman Catholic Archdiocese of Cebu,SharedVideo,5/14/21 7:37 PM,281,0,0,25
