post_id,permalink,post_message,type,date_posted,lifetime_post_total_reach,lifetime_post_total_impressions,lifetime_engaged_users,lifetime_post_impressions_who_liked
102088165248724_144474077676799,https://www.facebook.com/sugboanongsimbahan/posts/144474077676799,"""We are believers, yes. But more than just believers, we are disciples. Which means, believing in Jesus, we have to follow the way of Jesus. For all of us disciples of Jesus, we pray, that as we celebrate 500 YoC, any form of authority should always be seen in the context of service.""  - Cebu Archbishop Jose S. Palma on his homily during the Simbayanan: Misa ng Sambayanang Pilipino sa ika-500 taon ng Kristiyanismo sa Pilipinas (26 May 2021) #SugboanongSimbahan #500YoCCebu #GiftedToGiveCebu",Photo,5/25/21 9:56 PM,2784,2832,207,2048
102088165248724_342496620632068,https://www.facebook.com/sugboanongsimbahan/videos/342496620632068/,"An Initiative of the CBCP Episcopal Commission on Social Communications, Catholic Media Network and Veritas 846 An Invitation for us to join virtually @12NN today @ the Cebu Metropolitan Cathedral with the ARCHDIOCESE OF CEBU as the Host and with Archbishop Jose S. Palma as the main presider and homilist.",Video,5/25/21 8:45 PM,2169,2169,174,607
102088165248724_144409217683285,https://www.facebook.com/sugboanongsimbahan/posts/144409217683285,"Holy Spirit, make my heart open to the Word of God, make my heart open to goodness, make my heart open to the beauty of God every day. Amen.  - Pope Francis   Source: popefrancisjourney.com  #SugboanongSimbahan #500YoCCebu #RCACNowOnline #GiftedToGiveCebu",Photo,5/25/21 7:39 PM,1520,1523,92,1044
102088165248724_144386261018914,https://www.facebook.com/sugboanongsimbahan/posts/144386261018914,"An Invitation for us to join virtually @ 12NN today @ the Cebu Metropolitan Cathedral with the ARCHDIOCESE OF CEBU as the Host and with Archbishop Jose S. Palma as the main presider and homilist.  SIMBAYANAN: MISA NANG SAMBAYANANG PILIPINO SA IKA-500 NA TAONG KRISTIANISMO SA PILIPINAS. An Initiative of the CBCP Episcopal Commission on Social Communications, Catholic Media Network and Veritas 846.  #SugboanongSimbahan #500YoCCebu #RCACNowOnline #GiftedToGiveCebu",Video,5/25/21 6:38 PM,639,639,54,466
102088165248724_144123567711850,https://www.facebook.com/sugboanongsimbahan/posts/144123567711850,"PALANDONG | The Daily Gospel Reflection   Paghalad Ug Paghatag Sa Kinabuhi Gospel from Mark 10:32-45 Memorial of Saint Philip Neri, Priest Wednesday, 8th Week of the Ordinary Time May 26, 2021  By Rev. Fr. Loreto Jumao-as  Do not forget to SUBSCRIBE IN YOUTUBE https://www.youtube.com/channel/UCJzgBBaaEtMKnCNQxCiRNSw  LIKE & FOLLOW US ON THE MEDIA PLATFORMS Facebook: https://www.facebook.com/sugboanongsimbahan Twitter: https://twitter.com/sugbosimbahan Instagram: https://www.instagram.com/sugboanongsimbahan  #SugboanongSimbahan??  #RCACNowOnline??  #500YoCCebu??  #GiftedToGiveCebu",Video,5/25/21 7:28 AM,424,435,26,308
102088165248724_143985661058974,https://www.facebook.com/sugboanongsimbahan/posts/143985661058974,"Day 25 - HOLY ROSARY INTENTION We pray for all teachers, students and educators.   The Basilica of the National Shrine of the Blessed Virgin of Ta'  Pinu (G?arb, Malta). #SugboanongSimbahan -------- Pope Francis is requesting that during this month of May the entire Church invoke the intercession of the Blessed Virgin Mary for the end of the pandemic and, in a special way, he is inviting all of us to pray fervently for those most closely affected by it.   During each day of May, guided by a calendar with specific intentions, all the Shrines around the world, united in a communion of supplication, will lift up their prayers, which, like the fragrance of incense, will rise up to heaven.   Thirty (30) Marian Shrines will take turns leading this prayer throughout the Church and offering the faithful a series of prayer moments for them to participate throughout the entire day.  This initiative is led by the Pontifical Council for the Promotion of New Evangelization.  ------ THE RECITATION OF THE HOLY ROSARY (The prayer of the Holy Rosary may begin with the lighting of a few candles from the previously lit candle before the image of Our Lady. The celebrant explains the meaning of the gesture and the day’s prayer intention in view of the pandemic and the particular needs of that geographic region. The following text may be used, adapting it according to the needs of the place and situation.)  Dear Brothers and Sisters, in communion with the Holy Father following the example of the first Christian communities in this time of great trial, we lift up to the Lord through the intercession of the Blessed Virgin Mary, unceasing supplications for the end of the pandemic.  Today, in particular, at this Shrine of [insert name of Shrine] we wish to pray for [insert prayer intention found in the appendix]. May these candles, lit from the candle that burns before the image of Our Lady, may illuminate and transform this moment of darkness into an aurora of new light.  We invite all those who follow us through our web channels to join spiritually in the recitation of this Holy Rosary with their families.   The recitation of the Holy Rosary according to the local tradition follows. At the end, after the singing of the Salve Regina and the recitation of the Litanies, the celebrant and the faithful present address the following prayer to Our Lady:  We fly to your protection,  O Holy Mother of God. In the present tragic situation,  when the whole world is prey to suffering and anxiety, we fly to you, Mother of God and our Mother, and seek refuge under your protection.  Virgin Mary, turn your merciful eyes towards us amid this coronavirus pandemic. Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.  Be close to those who are concerned for their loved ones who are sick and who, in order to prevent the spread of the disease, cannot be close to them.  Fill with hope those who are troubled by the uncertainty of the future and the consequences for the economy and employment.  Mother of God and our Mother, pray for us to God, the Father of mercies, that this great suffering may end and that hope and peace may dawn anew.   Plead with your divine Son,  as you did at Cana, so that the families of the sick and the victims be comforted, and their hearts be opened to confidence and trust.  Protect those doctors, nurses, health workers and volunteers who are on the frontline of this emergency, and are risking their lives to save others.  Support their heroic effort and grant them strength, generosity, and continued health.  Mary, Consolation of the afflicted, embrace all your children in distress and pray that God will stretch out his all-powerful hand and free us from this terrible pandemic, so that life can serenely resume its normal course.  To you, who shine on our journey as a sign of salvation and hope, do we entrust ourselves, O Clement, O Loving, O Sweet Virgin Mary. Amen.  ------ FAREWELL GREETING TO MOTHER MARY  Remember, O most gracious Virgin Mary, that never was it known that anyone who fled to thy protection, implored thy help, or sought thy intercession, was left unaided.  Inspired by this confidence I fly unto thee, O Virgin of virgins, my Mother. To thee do I come, before thee I stand, sinful and sorrowful.  O Mother of the Word Incarnate, despise not my petitions, but in thy mercy hear and answer me. Amen.",Photo,5/25/21 3:00 AM,5242,5242,348,1955
102088165248724_143989271058613,https://www.facebook.com/sugboanongsimbahan/posts/143989271058613,"#PilgrimageUpdates -25 MAY 2021 | The faithful devotees and parishioners of St. John the Baptist Parish, Tabuelan Cebu welcome the 2021 JUBILEE CROSS and the Pilgrim Image of Sn?r. Sto. Nin?o de Cebu.  Tomorrow the Pilgrimage will visit San Miguel the Archangel Parish, Lambusan, San Remegio, Cebu.  #SugboanongSimbahan #500YoCCebu #GiftedToGive",Photo,5/25/21 1:52 AM,19583,20316,1982,4655
102088165248724_143984024392471,https://www.facebook.com/sugboanongsimbahan/posts/143984024392471,"Day 24 - HOLY ROSARY INTENTION We pray for all those who provide essential services.  Our Lady of Lourdes (Nyaunglebin, Myanmar) #SugboanongSimbahan -------- Pope Francis is requesting that during this month of May the entire Church invoke the intercession of the Blessed Virgin Mary for the end of the pandemic and, in a special way, he is inviting all of us to pray fervently for those most closely affected by it.   During each day of May, guided by a calendar with specific intentions, all the Shrines around the world, united in a communion of supplication, will lift up their prayers, which, like the fragrance of incense, will rise up to heaven.   Thirty (30) Marian Shrines will take turns leading this prayer throughout the Church and offering the faithful a series of prayer moments for them to participate throughout the entire day.  This initiative is led by the Pontifical Council for the Promotion of New Evangelization.  ------ THE RECITATION OF THE HOLY ROSARY (The prayer of the Holy Rosary may begin with the lighting of a few candles from the previously lit candle before the image of Our Lady. The celebrant explains the meaning of the gesture and the day’s prayer intention in view of the pandemic and the particular needs of that geographic region. The following text may be used, adapting it according to the needs of the place and situation.)  Dear Brothers and Sisters, in communion with the Holy Father following the example of the first Christian communities in this time of great trial, we lift up to the Lord through the intercession of the Blessed Virgin Mary, unceasing supplications for the end of the pandemic.  Today, in particular, at this Shrine of [insert name of Shrine] we wish to pray for [insert prayer intention found in the appendix]. May these candles, lit from the candle that burns before the image of Our Lady, may illuminate and transform this moment of darkness into an aurora of new light.  We invite all those who follow us through our web channels to join spiritually in the recitation of this Holy Rosary with their families.   The recitation of the Holy Rosary according to the local tradition follows. At the end, after the singing of the Salve Regina and the recitation of the Litanies, the celebrant and the faithful present address the following prayer to Our Lady:  We fly to your protection,  O Holy Mother of God. In the present tragic situation,  when the whole world is prey to suffering and anxiety, we fly to you, Mother of God and our Mother, and seek refuge under your protection.  Virgin Mary, turn your merciful eyes towards us amid this coronavirus pandemic. Comfort those who are distraught and mourn their loved ones who have died, and at times are buried in a way that grieves them deeply.  Be close to those who are concerned for their loved ones who are sick and who, in order to prevent the spread of the disease, cannot be close to them.  Fill with hope those who are troubled by the uncertainty of the future and the consequences for the economy and employment.  Mother of God and our Mother, pray for us to God, the Father of mercies, that this great suffering may end and that hope and peace may dawn anew.   Plead with your divine Son,  as you did at Cana, so that the families of the sick and the victims be comforted, and their hearts be opened to confidence and trust.  Protect those doctors, nurses, health workers and volunteers who are on the frontline of this emergency, and are risking their lives to save others.  Support their heroic effort and grant them strength, generosity, and continued health.  Mary, Consolation of the afflicted, embrace all your children in distress and pray that God will stretch out his all-powerful hand and free us from this terrible pandemic, so that life can serenely resume its normal course.  To you, who shine on our journey as a sign of salvation and hope, do we entrust ourselves, O Clement, O Loving, O Sweet Virgin Mary. Amen.  ------ FAREWELL GREETING TO MOTHER MARY  Remember, O most gracious Virgin Mary, that never was it known that anyone who fled to thy protection, implored thy help, or sought thy intercession, was left unaided.  Inspired by this confidence I fly unto thee, O Virgin of virgins, my Mother. To thee do I come, before thee I stand, sinful and sorrowful.  O Mother of the Word Incarnate, despise not my petitions, but in thy mercy hear and answer me. Amen.",Photo,5/25/21 1:41 AM,4363,4363,301,1844
102088165248724_143830091074531,https://www.facebook.com/sugboanongsimbahan/posts/143830091074531,"RCAC UPDATES | Academia de San Pedro Calungsod in City of Naga, Cebu celebrated their 4th Senior High School and 54th Junior High School Commencement Exercises with the theme, ""A culture of dialogue and harmony amidst diversity: An Empowering Work of Evangelizing Education""   #SugboanongSimbahan",Photo,5/24/21 6:33 PM,10858,12688,704,4241
102088165248724_143819794408894,https://www.facebook.com/sugboanongsimbahan/posts/143819794408894,"Today, 134 years ago, one of the Filipinos' beloved saints was born: St. Padre Pio of Pietrelcina. His great love for the Eucharist, his profound love for the Blessed Mother, his patient disposition in times of hardships and trials are truly worth emulating.  Pio (Francesco Forgione) was born to Giuseppa and Grazio Forgione, in the small farming town of Pietrelcina, Italy on May 25, 1887. Although the Forgiones were poor in material goods, they were certainly rich in their faith life and in the love of God.  #SugboanongSimbahan #GiftedToGive #RCAC #500YoCCebu",Photo,5/24/21 6:12 PM,19760,19760,1749,3315
